image_id,label
200001.jpg,normal
200002.jpg,dead_heart
200003.jpg,brown_spot
200004.jpg,downy_mildew
200005.jpg,blast
200006.jpg,brown_spot
200007.jpg,dead_heart
200008.jpg,tungro
200009.jpg,blast
200010.jpg,tungro
200011.jpg,bacterial_leaf_streak
200012.jpg,tungro
200013.jpg,dead_heart
200014.jpg,tungro
200015.jpg,normal
200016.jpg,hispa
200017.jpg,dead_heart
200018.jpg,hispa
200019.jpg,hispa
200020.jpg,dead_heart
200021.jpg,dead_heart
200022.jpg,tungro
200023.jpg,normal
200024.jpg,normal
200025.jpg,hispa
200026.jpg,normal
200027.jpg,tungro
200028.jpg,blast
200029.jpg,normal
200030.jpg,hispa
200031.jpg,bacterial_leaf_blight
200032.jpg,brown_spot
200033.jpg,brown_spot
200034.jpg,dead_heart
200035.jpg,normal
200036.jpg,tungro
200037.jpg,blast
200038.jpg,tungro
200039.jpg,blast
200040.jpg,hispa
200041.jpg,brown_spot
200042.jpg,dead_heart
200043.jpg,tungro
200044.jpg,bacterial_panicle_blight
200045.jpg,dead_heart
200046.jpg,hispa
200047.jpg,normal
200048.jpg,dead_heart
200049.jpg,hispa
200050.jpg,blast
200051.jpg,blast
200052.jpg,blast
200053.jpg,blast
200054.jpg,dead_heart
200055.jpg,dead_heart
200056.jpg,normal
200057.jpg,dead_heart
200058.jpg,hispa
200059.jpg,tungro
200060.jpg,brown_spot
200061.jpg,dead_heart
200062.jpg,blast
200063.jpg,normal
200064.jpg,downy_mildew
200065.jpg,normal
200066.jpg,normal
200067.jpg,brown_spot
200068.jpg,brown_spot
200069.jpg,dead_heart
200070.jpg,bacterial_leaf_streak
200071.jpg,bacterial_leaf_streak
200072.jpg,tungro
200073.jpg,hispa
200074.jpg,bacterial_panicle_blight
200075.jpg,brown_spot
200076.jpg,hispa
200077.jpg,blast
200078.jpg,brown_spot
200079.jpg,blast
200080.jpg,normal
200081.jpg,bacterial_leaf_streak
200082.jpg,hispa
200083.jpg,normal
200084.jpg,dead_heart
200085.jpg,blast
200086.jpg,dead_heart
200087.jpg,dead_heart
200088.jpg,bacterial_leaf_blight
200089.jpg,dead_heart
200090.jpg,blast
200091.jpg,blast
200092.jpg,bacterial_leaf_blight
200093.jpg,dead_heart
200094.jpg,blast
200095.jpg,bacterial_panicle_blight
200096.jpg,hispa
200097.jpg,bacterial_leaf_streak
200098.jpg,blast
200099.jpg,normal
200100.jpg,dead_heart
200101.jpg,tungro
200102.jpg,tungro
200103.jpg,dead_heart
200104.jpg,bacterial_panicle_blight
200105.jpg,normal
200106.jpg,hispa
200107.jpg,blast
200108.jpg,tungro
200109.jpg,dead_heart
200110.jpg,dead_heart
200111.jpg,normal
200112.jpg,dead_heart
200113.jpg,bacterial_panicle_blight
200114.jpg,downy_mildew
200115.jpg,dead_heart
200116.jpg,dead_heart
200117.jpg,downy_mildew
200118.jpg,blast
200119.jpg,dead_heart
200120.jpg,dead_heart
200121.jpg,dead_heart
200122.jpg,hispa
200123.jpg,bacterial_leaf_streak
200124.jpg,brown_spot
200125.jpg,normal
200126.jpg,hispa
200127.jpg,hispa
200128.jpg,tungro
200129.jpg,hispa
200130.jpg,downy_mildew
200131.jpg,hispa
200132.jpg,hispa
200133.jpg,bacterial_leaf_blight
200134.jpg,normal
200135.jpg,brown_spot
200136.jpg,dead_heart
200137.jpg,blast
200138.jpg,normal
200139.jpg,tungro
200140.jpg,bacterial_leaf_blight
200141.jpg,dead_heart
200142.jpg,hispa
200143.jpg,hispa
200144.jpg,dead_heart
200145.jpg,tungro
200146.jpg,bacterial_leaf_blight
200147.jpg,dead_heart
200148.jpg,bacterial_leaf_blight
200149.jpg,hispa
200150.jpg,blast
200151.jpg,brown_spot
200152.jpg,hispa
200153.jpg,hispa
200154.jpg,hispa
200155.jpg,blast
200156.jpg,blast
200157.jpg,bacterial_panicle_blight
200158.jpg,blast
200159.jpg,blast
200160.jpg,hispa
200161.jpg,dead_heart
200162.jpg,normal
200163.jpg,hispa
200164.jpg,bacterial_leaf_streak
200165.jpg,dead_heart
200166.jpg,dead_heart
200167.jpg,brown_spot
200168.jpg,brown_spot
200169.jpg,downy_mildew
200170.jpg,dead_heart
200171.jpg,normal
200172.jpg,hispa
200173.jpg,tungro
200174.jpg,normal
200175.jpg,normal
200176.jpg,hispa
200177.jpg,dead_heart
200178.jpg,blast
200179.jpg,hispa
200180.jpg,normal
200181.jpg,brown_spot
200182.jpg,dead_heart
200183.jpg,tungro
200184.jpg,tungro
200185.jpg,downy_mildew
200186.jpg,hispa
200187.jpg,hispa
200188.jpg,hispa
200189.jpg,normal
200190.jpg,downy_mildew
200191.jpg,bacterial_leaf_blight
200192.jpg,blast
200193.jpg,normal
200194.jpg,tungro
200195.jpg,normal
200196.jpg,brown_spot
200197.jpg,normal
200198.jpg,brown_spot
200199.jpg,bacterial_leaf_blight
200200.jpg,hispa
200201.jpg,brown_spot
200202.jpg,hispa
200203.jpg,normal
200204.jpg,tungro
200205.jpg,hispa
200206.jpg,bacterial_panicle_blight
200207.jpg,tungro
200208.jpg,downy_mildew
200209.jpg,hispa
200210.jpg,normal
200211.jpg,dead_heart
200212.jpg,normal
200213.jpg,blast
200214.jpg,downy_mildew
200215.jpg,tungro
200216.jpg,blast
200217.jpg,dead_heart
200218.jpg,normal
200219.jpg,blast
200220.jpg,hispa
200221.jpg,dead_heart
200222.jpg,bacterial_leaf_blight
200223.jpg,normal
200224.jpg,hispa
200225.jpg,dead_heart
200226.jpg,bacterial_leaf_streak
200227.jpg,bacterial_leaf_streak
200228.jpg,normal
200229.jpg,normal
200230.jpg,dead_heart
200231.jpg,tungro
200232.jpg,dead_heart
200233.jpg,normal
200234.jpg,normal
200235.jpg,normal
200236.jpg,dead_heart
200237.jpg,tungro
200238.jpg,brown_spot
200239.jpg,bacterial_panicle_blight
200240.jpg,dead_heart
200241.jpg,blast
200242.jpg,hispa
200243.jpg,blast
200244.jpg,blast
200245.jpg,tungro
200246.jpg,dead_heart
200247.jpg,blast
200248.jpg,blast
200249.jpg,normal
200250.jpg,bacterial_panicle_blight
200251.jpg,blast
200252.jpg,blast
200253.jpg,hispa
200254.jpg,brown_spot
200255.jpg,blast
200256.jpg,normal
200257.jpg,blast
200258.jpg,brown_spot
